goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,position
4,5,0,43,56.58,123,65.78,3,75,33,,81.43,166,63.12,3195,8,15,3,36,0,0,0,0,0,0,0,0,0,0,95,1,1285,6,0,0,175,53.52,82,298,18,0,25,8,5,16,0,2,,1,2,0,Steve Cook,Bournemouth,42707,60,DF
3,3,0,85,52.15,47,65.28,24,51.06,34,3,78.69,132,56.17,2281,31,20,15,29,0,0,0,0,0,0,0,0,0,0,386,2,1071,38,40,26.85,63,35.39,45,71,21,2,39,10,13,7.69,3,3,,0,1,0,Aleksandar Kolarov,Manchester City,26097,17,DF
2,3,0,74,66.67,93,59.24,10,76.92,51,,74.45,167,62.31,3420,15,27,5,38,0,0,0,0,0,0,0,0,0,0,55,0,609,2,0,0,46,35.11,95,216,6,5,21,6,6,9.52,0,0,,1,1,0,Wes Morgan,Leicester City,20375,31,DF
0,2,0,8,32,9,52.94,0,0,5,,89.46,17,40.48,812,3,12,2,10,0,0,0,0,0,0,0,0,0,0,30,0,484,2,0,0,46,58.97,20,49,4,0,1,0,0,0,0,0,,0,1,0,Kevin Wimmer,Tottenham Hotspur,141203,33,DF
0,0,0,0,0,2,66.67,0,0,0,1,63.16,2,50,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,12,2,2,66.67,1,20,1,3,0,0,0,0,0,0,0,0,,0,0,0,Sebastien Pocognoli,West Bromwich Albion,10450,8,DF
1,3,0,79,57.25,87,59.18,4,100,58,1,84.8,166,58.25,2880,22,31,3,32,0,0,0,0,0,0,0,0,0,0,87,0,1439,8,0,0,83,42.13,80,217,27,2,17,2,2,5.88,1,2,,1,1,0,Federico Fernández,Swansea City,38393,74,DF
0,2,0,101,68.24,71,62.83,11,84.62,74,,84.51,172,65.9,2685,18,16,1,31,0,0,0,0,0,0,0,0,0,0,49,0,1031,5,0,0,89,50.86,75,164,28,0,2,0,1,0,0,0,,1,1,0,Philipp Wollscheid,Stoke City,94329,29,DF
0,3,1,64,64,78,58.65,15,83.33,43,1,68.2,142,60.94,2012,9,15,7,24,0,0,0,0,0,0,0,0,0,0,44,1,446,6,3,23.08,51,29.31,52,196,11,0,12,4,3,0,0,1,,1,1,0,Younès Kaboul,Sunderland,1018,41,DF
0,3,0,75,55.15,27,57.45,17,77.27,53,,80.58,102,55.74,1370,6,25,7,20,0,0,0,0,0,0,0,0,0,0,103,1,639,4,1,33.33,83,68.6,45,25,24,0,13,4,4,0,0,0,,0,3,0,Carlos Sánchez,Aston Villa,26995,40,DF
1,5,0,31,56.36,58,66.67,2,100,23,,85.34,89,62.68,1886,6,21,1,22,0,0,0,0,0,0,0,0,0,0,66,1,1001,5,0,0,56,45.16,41,147,5,0,10,3,4,10,0,1,,0,1,0,Martin Škrtel,Liverpool,12394,44,DF
