player_name,player_id
Michail Antonio,47772
Emil Krafth,150396
Shandon Baptiste,892111
Ivo Grbić,283847
Beto,987489
Miloš Kerkez,1097425
Anthony Martial,191176
Saïd Benrahma,354808
Lloyd Kelly,865167
Nuno Tavares,944973
Moussa Niakhaté,758168
Cameron Archer,993451
Curtis Jones,927353
Charlie Taylor,166381
Sergio Gómez,855835
Maxime Estève,1117223
Carlos Baleba,1199043
Pablo Fornals,816763
Ansu Fati,962883
Elijah Adebayo,920542
Chris Mepham,865740
Jean-Ricner Bellegarde,845273
Saša Lukić,371222
Lisandro Martínez,859999
Oliver Norwood,100637
Keane Lewis-Potter,972421
Orel Mangala,793988
David Brooks,855731
Leander Dendoncker,190405
Nélson Semedo,252821
Jurriën Timber,958959
Lesley Ugochukwu,1048916
Justin Kluivert,851596
Amari'i Bell,369674
Jason Steele,31867
Adam Smith,44566
André Gomes,235460
Kevin Schade,1006387
Matt Ritchie,42699
Saman Ghoddos,548050
Radu Drăguşin,997103
Jack Robinson,98454
Ashley Young,10589
Enes Ünal,336655
Odysseas Vlachodimos,138149
Adam Lallana,17054
Mahmoud Dahoud,341589
Joel Ward,39183
Séamus Coleman,76632
Carney Chukwuemeka,994556
Arnaut Danjuma,827064
Carlos Vinícius,891920
Matz Sels,78152
Danny Ings,130181
Lewis Dobbin,998832
Oliver Skipp,859901
Angelo Ogbonna,21164
Luke Berry,97465
Reiss Nelson,826139
Jordan Clark,150477
Nathan Patterson,1020141
Kieffer Moore,298366
Andrew Omobamidele,983066
Diego Carlos,604232
Yehor Yarmolyuk,1031258
Alfie Gilchrist,1114837
Mads Roerslev,826057
George Baldock,112928
Jayden Bogle,929132
Luke Thomas,991584
Joe Worrall,838399
Tariq Lamptey,914691
Jakub Moder,886242
Aaron Hickey,966869
James McAtee,1003334
Lorenz Assignon,1009334
Divock Origi,190399
Hjalmar Ekdal,875360
Sofyan Amrabat,359272
Cédric Soares,44760
Cesare Casadei,1016788
Hamed Junior Traorè,892924
Jaïro Riedewald,285989
Aaron Ramsdale,839410
Youssef Chermiti,1145627
Jay Rodriguez,26989
Bryan Gil,910026
Yasser Larouci,927360
Omari Forson,1153434
Santiago Bueno,846308
Valentín Barco,1127057
Chris Basham,33854
Armando Broja,996985
Nathan Fraser,1166679
Matheus França,1116593
Alejo Véliz,1116987
Roméo Lavia,1069488
Enso González,1402232
Owen Beck,979114
Jonny Otto,235648
Alex Murphy,1125214
Han-Noah Massengo,927340
Ryan Giles,931304
Manuel Benson,552632
Tyrone Mings,303638
Jadon Sancho,851100
Auston Trusty,822459
Luca Koleosho,1216282
Cheikhou Kouyaté,45944
Vitinho,914477
Mike Trésor,826183
Felipe,242211
Fodé Ballo-Touré,788170
Ben Osborn,282665
Calum Chambers,227942
Aaron Cresswell,43443
Nathan Redmond,115346
Hugo Bueno,1013928
Odeluga Offiah,1069627
Michael Keane,110846
Boubacar Traoré,982613
Leon Chiwome,1400646
Anel Ahmedhodžić,825899
Jayden Danns,1403108
Joe White,994550
Joe Rothwell,190853
Benicio Boaitey,1142604
Tawanda Chirewa,1005725
Max Aarons,943645
Daniel Bentley,101367
Ameen Al-Dakhil,964761
Mark O'Mahony,1149855
Thilo Kehrer,281277
Max Lowe,355154
John Fleck,27999
David Ozoh,1212155
Andre Brooks,1396445
Michael Olakigbe,1014556
Nicolò Zaniolo,864898
Hannes Delcroix,826169
Aaron Ramsey,1000142
William Osula,1122603
Stefan Bajčetić,1142636
Daniel Jebbison,1096136
Sydie Peck,1391824
Finley Munroe,1186812
Ben Parkinson,1409087
Zack Nelson,1394950
Ethan Wheatley,1426625
James McConnell,1138428
Rodrigo Ribeiro,1215904
Pelly Ruddock Mpanzu,387116
Romain Faivre,913942
Divin Mubama,1167025
Andrey Santos,1105779
Ben Gannon-Doak,1154861
Mason Burstow,1138421
Joshua Dasilva,856260
Jack Cork,20993
Naouirou Ahamada,997104
Rhian Brewster,878705
Connor Roberts,804613
Eric Dier,146101
Ben Johnson,914412
Anass Zaroury,877036
Tim Iroegbunam,1085950
Myles Peart-Harris,980649
Dane Scarlett,998772
Deivid Washington,1485371
James Tomkins,32124
Daiki Hashioka,897334
Ian Maatsen,976263
Kalvin Phillips,786028
Bobby Clark,1142638
Willy Kambwala,1136721
Thiago Alcântara,53825
Loris Karius,174135
Sam Curtis,1133697
Mikey Moore,1403192
Kaine Kesler-Hayden,1099074
Anis Ben Slimane,1006147
Omari Kellyman,1162083
Jaden Philogene-Bidace,1014461
Bertrand Traoré,218160
Antwoine Hackford,1049860
Fábio Silva,954076
John Egan,100578
Jaidon Anthony,1020680
Bénie Traoré,1099792
Fred Onyedinma,370932
Tom Davies,795058
Brandon Aguilera,1020203
Ryan One,1389768
Matt Targett,368134
Rhys Norrington-Davies,911708
Remi Matthews,581610
Mason Holgate,781544
Ionuț Radu,815202
Paul Dummett,185995
Joseph Johnson,825550
Luke Harris,1134729
Daniel Gore,1146145
Kaide Gordon,1096447
Jimi Tauriainen,1391111
Kaelan Casey,1142343
Amadou Diallo,1000449
Dominic Sadi,1398550
Michael Ndiweni,1082894
Lewis Warrington,1113799
Jamie Donley,1150934
Donny van de Beek,361790
Thomas Cannon,1005766
Alex Matos,1186050
Tyler Onyango,1004342
