goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsOcnceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,Position
1,2,0,62,69.66,59,70.24,5,62.5,40,1,82.83,121,69.94,1646,17,7,7,23,0,0,0,0,0,0,0,0,0,0,68,2,912,3,1,5.26,40,33.61,33,66,11,1,4,2,1,25,0,0,,0,0,0,Jan Vertonghen,Tottenham Hotspur,16921,33,DF
3,4,0,59,60.2,111,63.07,14,77.78,30,1,83.14,170,62.04,2670,19,13,5,31,0,0,0,0,0,0,0,0,0,0,126,2,1563,11,2,33.33,114,50.22,45,107,18,1,16,7,3,18.75,0,0,,1,1,0,Adam Webster,Brighton & Hove Albion,216308,30,DF
2,8,0,71,59.17,61,54.46,10,62.5,42,2,77.03,132,56.9,2624,20,17,3,32,0,0,0,0,0,0,0,0,0,0,72,2,855,4,5,17.24,100,45.05,24,185,23,1,15,7,2,13.33,1,2,,0,2,0,Federico Fernández,Newcastle United,38393,39,DF
3,0,0,66,47.83,17,51.52,16,42.11,43,2,81.17,83,48.54,2511,8,9,15,29,0,0,0,0,0,0,0,0,0,0,275,5,987,32,31,33.7,30,39.47,45,44,27,1,27,6,9,11.11,1,2,,0,1,0,Patrick van Aanholt,Crystal Palace,74577,7,DF
0,0,0,2,66.67,4,57.14,0,0,2,0,85,6,60,114,0,2,0,2,0,0,0,0,0,0,0,0,0,0,6,0,85,0,0,0,8,47.06,1,9,0,0,0,0,0,0,0,0,,0,0,0,Pablo Marí,Arsenal,208988,42,DF
2,3,0,33,47.83,61,62.24,3,100,28,0,92.37,94,56.29,1711,2,21,2,24,0,0,0,0,0,0,0,0,0,0,73,0,1416,4,0,0,60,55.05,21,73,17,1,14,7,2,14.29,0,0,,1,1,0,Nicolás Otamendi,Manchester City,74915,17,DF
0,5,0,51,69.86,69,57.5,4,100,38,0,91.35,120,62.18,1752,10,17,1,21,0,0,0,0,0,0,0,0,0,0,99,2,1194,4,0,0,52,47.71,29,56,6,1,7,2,1,0,0,0,,0,0,0,Andreas Christensen,Chelsea,186795,38,DF
0,0,0,22,78.57,44,64.71,5,100,16,0,94.2,66,68.75,1119,1,5,0,16,0,0,0,0,0,0,0,0,0,0,112,0,975,2,0,0,52,83.87,9,31,2,1,6,1,1,0,0,1,,0,2,0,John Stones,Manchester City,152077,17,DF
1,7,0,64,64.65,131,59.28,6,85.71,41,1,71.44,195,60.94,2880,21,25,3,32,0,0,0,0,0,0,0,0,0,0,76,3,898,9,1,33.33,102,35.05,42,160,12,2,17,7,4,5.88,1,3,,2,0,0,Ben Mee,Burnley,137774,6,DF
0,0,0,16,69.57,5,41.67,2,50,10,0,86.45,21,60,408,4,1,2,8,0,0,0,0,0,0,0,0,0,0,39,1,134,7,10,37.04,3,37.5,5,10,2,0,1,0,0,0,0,0,,0,0,0,Leighton Baines,Everton,9766,48,DF
0,3,0,51,71.83,17,60.71,12,75,23,0,85.1,68,68.69,1031,16,4,8,15,0,0,0,0,0,0,0,0,0,0,168,2,611,19,13,24.07,22,53.66,18,14,5,2,13,7,4,0,1,2,,0,0,0,Emerson Palmieri,Chelsea,155997,38,DF
2,5,0,79,56.43,34,50,16,66.67,39,0,74.77,113,54.33,1644,25,29,5,22,0,0,0,0,0,0,0,0,0,0,88,0,569,4,1,8.33,94,45.41,47,72,21,1,20,6,5,10,0,2,,2,0,0,Fabian Schär,Newcastle United,101882,39,DF
2,7,0,38,61.29,67,59.29,12,100,15,2,77.96,105,60,2903,11,20,5,33,0,0,0,0,0,0,0,0,0,0,73,1,1079,7,1,14.29,117,37.38,30,189,3,1,9,4,0,22.22,0,2,,2,2,0,Tyrone Mings,Aston Villa,303638,40,DF
1,4,0,76,47.8,37,49.33,8,38.1,52,2,72.65,113,48.29,2295,17,27,14,28,0,0,0,0,0,0,0,0,0,0,219,8,688,28,22,27.16,49,34.03,56,68,31,0,7,4,1,14.29,0,0,,0,0,0,Matt Targett,Aston Villa,368134,40,DF
0,1,0,20,55.56,2,66.67,5,71.43,14,1,76.4,22,56.41,608,1,5,2,8,0,0,0,0,0,0,0,0,0,0,75,1,204,6,7,29.17,8,26.67,7,19,7,0,4,0,2,0,0,0,,0,0,0,Daryl Janmaat,Watford,32213,24,DF
