goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,Position
1,3,0,78,67.83,66,62.86,17,85,50,0,85.75,144,65.45,2688,11,17,5,30,0,0,0,0,0,0,0,0,0,0,148,0,1306,3,0,0,83,47.16,45,106,13,3,13,4,3,7.69,2,0,,1,2,0,Max Kilman,Wolverhampton,894474,3,DF
5,6,1,92,70.23,55,58.51,4,100,50,0,89.5,147,65.33,3068,38,23,5,35,0,0,0,0,0,0,0,0,0,0,168,1,1824,9,0,0,88,44,13,109,11,0,29,12,4,17.24,0,1,,1,3,0,Gabriel Magalhães,Arsenal,869792,42,DF
0,2,0,24,63.16,49,55.68,4,100,14,0,90.01,73,57.94,1494,7,11,1,19,0,0,0,0,0,0,0,0,0,0,123,0,1189,6,1,100,60,55.56,29,51,3,2,5,0,0,0,0,0,,1,0,0,Andreas Christensen,Chelsea,186795,38,DF
0,1,0,25,53.19,70,56.45,1,50,15,0,88.13,95,55.56,3072,9,12,2,35,0,0,0,0,0,0,0,0,0,0,125,3,2049,7,1,100,128,48.12,27,141,7,3,13,5,3,0,2,0,,0,1,0,Eric Dier,Tottenham Hotspur,146101,33,DF
2,3,0,46,54.76,32,57.14,8,47.06,28,3,82.62,78,55.71,2728,10,14,4,31,0,0,0,0,0,0,0,0,0,0,355,5,1412,31,34,23.45,81,38.57,35,64,12,0,18,4,7,11.11,0,2,,0,0,0,Aaron Cresswell,West Ham United,43443,37,DF
1,1,0,73,71.57,143,66.51,9,81.82,51,1,75.35,216,68.14,2697,14,9,7,32,0,0,0,0,0,0,0,0,0,0,124,2,1067,12,4,19.05,64,32.32,44,148,13,1,16,9,3,6.25,0,1,,0,1,1,Ethan Pinnock,Brentford,855864,50,DF
0,1,0,36,55.38,12,63.16,3,60,28,1,67.72,48,57.14,731,5,14,2,12,0,0,0,0,0,0,0,0,0,0,40,1,172,2,2,14.29,14,36.84,10,37,11,0,7,0,3,0,0,0,,0,0,0,Erik Pieters,Burnley,17063,6,DF
1,2,1,18,51.43,81,68.64,4,100,10,0,88.37,99,64.71,2574,4,9,3,29,0,0,0,0,0,0,0,0,0,0,128,1,1717,3,1,33.33,137,53.31,27,111,6,1,19,7,6,5.26,0,0,,0,3,0,Lewis Dunk,Brighton & Hove Albion,115365,30,DF
0,2,0,21,58.33,34,64.15,2,66.67,16,0,88.13,55,61.8,990,3,10,1,11,0,0,0,0,0,0,0,0,0,0,57,0,661,0,0,0,23,41.82,16,37,3,0,4,0,0,0,0,0,,1,0,0,Ibrahima Konaté,Liverpool,826215,44,DF
4,5,0,33,50,32,57.14,1,100,31,0,89.75,65,53.28,3363,1,20,1,38,0,0,0,0,0,0,0,0,0,0,59,0,1514,3,0,0,145,61.7,28,139,12,1,12,4,4,33.33,0,2,,0,0,0,Conor Coady,Wolverhampton,98449,3,DF
0,5,0,53,63.1,82,65.08,3,75,41,1,83.06,135,64.29,1815,9,19,1,21,0,0,0,0,0,0,0,0,0,0,44,0,976,4,0,0,59,39.6,43,72,10,0,6,1,1,0,0,2,,0,2,0,Liam Cooper,Leeds United,39327,34,DF
0,1,0,69,54.33,30,55.56,12,54.55,48,4,80.32,99,54.7,1660,9,23,10,21,0,0,0,0,0,0,0,0,0,0,201,2,751,26,30,23.62,23,26.74,26,43,16,0,10,3,3,0,2,1,,0,0,0,Alex Telles,Manchester United,312110,35,DF
1,8,0,44,49.44,100,65.79,0,0,38,1,80.1,144,59.75,2462,6,26,4,29,0,0,0,0,0,0,0,0,0,0,107,2,978,6,0,0,47,32.19,44,144,13,1,18,5,4,5.56,0,5,,0,0,0,Dan Burn,Newcastle United,99090,39,DF
2,6,0,61,54.95,73,59.35,7,70,40,0,80.07,134,57.26,2708,15,30,5,31,0,0,0,0,0,0,0,0,0,0,208,0,1426,7,0,0,108,40.15,58,149,14,2,18,6,0,11.11,2,3,,1,1,0,Romain Saïss,Wolverhampton,187729,3,DF
0,2,0,21,61.76,21,67.74,3,100,12,0,88.99,42,64.62,630,7,7,2,7,0,0,0,0,0,0,0,0,0,0,38,0,469,2,0,0,16,45.71,12,26,4,1,3,1,0,0,0,0,,0,1,0,Wesley Fofana,Leicester City,923894,31,DF
0,1,0,34,53.97,19,54.29,7,50,15,2,90.31,53,54.08,1755,12,7,6,20,0,0,0,0,0,0,0,0,0,0,375,3,1351,14,6,17.14,76,59.84,14,15,9,0,8,2,4,0,0,1,,0,1,2,Kyle Walker,Manchester City,44614,17,DF
1,0,0,36,66.67,56,73.68,2,66.67,28,1,87.84,92,70.77,1835,7,5,0,22,0,0,0,0,0,0,0,0,0,0,81,1,1011,4,0,0,80,62.02,18,78,12,1,9,1,3,11.11,0,0,,0,1,0,Raphaël Varane,Manchester United,138310,35,DF
1,3,0,71,55.91,46,61.33,15,78.95,51,2,85.67,117,57.92,2074,5,25,10,27,0,0,0,0,0,0,0,0,0,0,366,2,1375,17,6,12.77,46,42.99,23,61,19,2,11,4,3,9.09,2,2,,1,0,0,César Azpilicueta,Chelsea,21555,38,DF
1,3,0,108,57.75,51,66.23,10,45.45,75,1,74.04,159,60.23,2873,23,24,9,33,0,0,0,0,0,0,0,0,0,0,260,5,884,41,40,30.08,59,34.1,48,60,34,1,13,6,3,7.69,0,1,,0,1,1,Matt Targett,Newcastle United,368134,39,DF
0,1,0,6,60,5,62.5,0,0,5,0,85.87,11,61.11,180,1,1,0,2,0,0,0,0,0,0,0,0,0,0,8,1,79,1,0,0,4,36.36,3,10,3,0,1,0,0,0,0,0,,0,0,0,Pablo Marí,Arsenal,208988,42,DF
1,3,0,37,61.67,48,72.73,2,66.67,24,1,83.22,85,67.46,1350,11,15,0,18,0,0,0,0,0,0,0,0,0,0,73,2,838,4,0,0,62,41.89,20,59,8,1,3,2,0,33.33,1,0,,0,0,0,Jonny Evans,Leicester City,30144,31,DF
1,1,0,18,52.94,50,61.73,1,33.33,11,0,87.65,68,59.13,2080,6,11,0,24,0,0,0,0,0,0,0,0,0,0,39,0,873,2,0,0,44,42.72,34,132,3,0,6,3,1,16.67,0,0,,0,0,0,Kurt Zouma,West Ham United,139227,37,DF
0,6,0,80,48.48,49,57.65,11,36.67,46,4,78.81,129,51.6,2442,25,33,19,29,0,0,0,0,0,0,0,0,0,0,293,3,874,52,41,23.84,23,30.26,37,62,17,0,18,3,7,0,0,3,,0,0,0,Lucas Digne,Aston Villa,96538,40,DF
0,3,0,58,50.43,26,59.09,7,50,42,0,77.68,84,52.83,1453,9,29,6,18,0,0,0,0,0,0,0,0,0,0,132,1,536,10,10,16.67,20,35.71,28,39,16,1,11,1,4,0,1,1,,0,0,0,Marçal,Wolverhampton,143593,3,DF
2,4,1,44,45.36,94,63.09,4,100,29,2,80.88,138,56.1,2754,12,39,5,34,0,0,0,0,0,0,0,0,0,0,105,2,1032,4,0,0,103,43.64,29,138,11,2,25,6,6,8,1,1,,0,0,0,Craig Dawson,West Ham United,50027,37,DF
0,2,0,16,51.61,10,62.5,4,50,10,1,83.26,26,55.32,330,2,5,2,8,0,0,0,0,0,0,0,0,0,0,59,1,199,3,4,21.05,9,56.25,5,6,4,0,1,0,0,0,0,0,,0,0,0,Joe Gomez,Liverpool,318927,44,DF
4,8,0,160,56.14,42,48.28,33,55.93,89,3,72.44,202,54.3,3380,38,38,31,38,0,0,0,0,0,0,0,0,0,0,215,3,883,29,19,19.39,53,25.98,49,82,31,1,37,13,9,10.81,0,2,,0,2,1,Matty Cash,Aston Villa,833956,40,DF
4,10,0,48,51.06,91,70,1,100,32,0,81.66,139,62.05,2631,15,30,4,31,0,0,0,0,0,0,0,0,0,0,101,1,1180,6,1,100,87,40.28,72,139,14,3,19,7,4,21.05,0,1,,0,0,0,Jan Bednarek,Southampton,286085,45,DF
0,3,0,79,58.09,62,60.78,10,50,44,0,84.59,141,59.24,2880,27,19,11,32,0,0,0,0,0,0,0,0,0,0,191,1,1531,14,0,0,90,43.06,42,101,17,0,12,4,4,0,0,0,,0,0,1,Ben White,Arsenal,846036,42,DF
0,3,0,19,70.37,15,65.22,5,71.43,7,0,70,34,68,448,7,5,1,6,0,0,0,0,0,0,0,0,0,0,23,1,161,7,2,33.33,16,37.21,2,8,0,0,2,0,0,0,0,0,,0,0,0,Charlie Goode,Brentford,798933,50,DF
