goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,position,,,
1,1,0,73,65.77,48,52.75,8,66.67,39,3,79.28,121,59.9,1735,26,13,9,23,0,0,0,0,0,0,0,0,0,0,265,4,834,29,19,25.33,45,42.45,12,78,13,0,13,4,7,7.69,0,2,,0,0,0,Ben Davies,Tottenham Hotspur,94758,33,DF,,,
2,8,0,91,61.07,45,60.81,23,88.46,42,1,80.25,136,60.99,2638,27,31,8,31,0,0,0,0,0,0,0,0,0,0,106,0,756,8,2,22.22,79,47.02,74,151,18,1,9,5,2,22.22,0,0,,0,0,0,Jonny Evans,West Bromwich Albion,30144,8,DF,,,
2,4,0,69,55.65,71,58.68,10,76.92,49,1,78.32,140,57.14,2250,12,23,13,25,0,0,0,0,0,0,0,0,0,0,93,1,874,6,4,19.05,87,42.03,52,175,20,0,8,3,1,25,0,1,,0,2,0,Calum Chambers,Middlesbrough,227942,36,DF,,,
5,6,0,113,45.2,68,54.4,21,56.76,66,2,81.49,181,48.27,2368,30,70,24,32,0,0,0,0,0,0,0,0,0,0,383,2,1352,33,4,17.39,104,59.09,32,52,31,2,45,11,15,11.11,0,2,,0,1,0,Emre Can,Liverpool,138156,44,DF,,,
2,10,0,117,56.52,69,53.08,13,76.47,97,4,72.26,186,55.19,3103,8,29,11,36,0,0,0,0,0,0,0,0,0,0,245,4,935,39,26,27.08,96,36.23,71,143,52,1,21,6,4,9.52,1,1,,0,2,1,Christian Fuchs,Leicester City,1262,31,DF,,,
0,9,0,143,60.85,53,58.89,24,80,101,2,66.7,196,60.31,3240,21,34,15,36,0,0,0,0,0,0,0,0,0,0,169,2,723,30,25,21.74,116,36.59,65,176,39,1,6,2,0,0,0,0,,0,3,0,Matthew Lowton,Burnley,67507,6,DF,,,
1,4,0,61,64.89,61,47.66,17,94.44,31,1,84.6,122,54.95,3420,15,19,8,38,0,0,0,0,0,0,0,0,0,0,125,1,1423,3,0,0,148,50.34,57,234,8,0,15,6,4,6.67,0,1,,0,0,0,Ben Gibson,Middlesbrough,115432,36,DF,,,
0,1,0,91,60.26,56,56.57,26,72.22,48,1,74.46,147,58.8,1628,18,17,17,19,0,0,0,0,0,0,0,0,0,0,145,1,586,10,4,28.57,45,42.45,32,48,17,1,11,5,4,0,0,1,,0,1,0,Geoff Cameron,Stoke City,48988,29,DF,,,
0,4,0,58,69.88,74,58.73,4,80,40,2,82.73,132,63.16,2137,20,12,2,26,0,0,0,0,0,0,0,0,0,0,40,1,709,2,0,0,33,38.37,92,173,11,0,10,3,0,0,1,0,,2,0,0,Curtis Davies,Hull City,10281,96,DF,,,
2,3,0,27,56.25,59,67.82,1,100,21,0,78.45,86,63.7,1654,7,7,0,22,0,0,0,0,0,0,0,0,0,0,35,0,455,4,0,0,50,39.37,38,147,14,0,11,4,1,18.18,0,1,,1,1,0,James Collins,West Ham United,9729,37,DF,,,
0,0,0,1,100,2,50,0,0,1,0,94,3,60,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,47,0,0,0,2,66.67,1,4,0,0,1,0,0,0,0,0,,0,0,0,Martín Cáceres,Southampton,28186,45,DF,,,
0,0,0,2,100,1,100,0,0,2,0,100,3,100,37,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,100,1,2,0,0,0,0,0,0,0,0,,0,0,0,Per Mertesacker,Arsenal,369,42,DF,,,
0,0,0,5,71.43,3,50,0,0,4,0,60,8,61.54,83,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,21,0,0,0,2,28.57,2,5,0,0,0,0,0,0,0,0,,0,0,0,Carl Jenkinson,Arsenal,137844,42,DF,,,
0,0,0,21,65.63,24,63.16,1,50,17,0,81.97,45,64.29,561,3,4,1,7,0,0,0,0,0,0,0,0,0,0,8,0,200,1,0,0,17,56.67,15,52,5,0,2,0,0,0,1,2,,1,1,0,Adrian Mariappa,Watford,10597,24,DF,,,
2,4,0,102,55.14,27,44.26,12,50,63,3,81.5,129,52.44,2821,29,35,12,32,0,0,0,0,0,0,0,0,0,0,338,1,1066,46,33,29.46,76,41.3,45,65,26,1,15,5,3,13.33,1,0,,0,0,0,Leighton Baines,Everton,9766,48,DF,,,
1,0,0,19,57.58,48,72.73,1,33.33,12,1,88.36,67,67.68,1215,8,8,1,18,0,0,0,0,0,0,0,0,0,0,12,1,410,3,0,0,21,48.84,13,126,4,0,7,1,1,14.29,0,1,,2,1,0,Chris Smalling,Manchester United,47741,35,DF,,,
0,5,0,108,62.79,21,48.84,16,69.57,72,0,79.94,129,60,2196,20,27,8,26,0,0,0,0,0,0,0,0,0,0,161,1,821,9,17,23.94,62,43.97,59,70,24,0,3,0,1,0,0,1,,0,0,0,Antonio Barragán,Middlesbrough,9645,36,DF,,,
0,0,0,9,50,19,52.78,3,75,3,0,82.67,28,51.85,687,3,1,3,8,0,0,0,0,0,0,0,0,0,0,24,0,186,4,1,100,12,42.86,15,47,4,0,2,0,0,0,0,0,,0,0,0,Mamadou Sakho,Crystal Palace,21134,7,DF,,,
0,4,0,67,60.91,80,64,6,85.71,48,0,82.33,147,62.55,2935,17,28,1,33,0,0,0,0,0,0,0,0,0,0,154,0,1342,9,1,20,107,40.84,75,191,15,0,17,3,4,0,0,0,,1,1,0,José Fonte,West Ham United,27622,37,DF,,,
0,4,1,48,56.47,57,61.29,11,84.62,25,0,72.15,105,58.99,1577,16,23,1,18,0,0,0,0,0,0,0,0,0,0,70,0,500,1,2,40,74,37.37,54,164,14,0,8,2,4,0,1,2,,1,0,0,Papy Djilobodji,Sunderland,106661,41,DF,,,
0,1,0,27,55.1,11,64.71,9,64.29,12,1,85.64,38,57.58,692,6,7,6,11,0,0,0,0,0,0,0,0,0,0,110,1,328,10,7,33.33,9,40.91,12,27,4,0,6,1,4,0,0,0,,0,1,0,Luke Shaw,Manchester United,190839,35,DF,,,
0,1,0,55,74.32,49,64.47,21,95.45,25,0,91.74,104,69.33,2013,9,8,4,27,0,0,0,0,0,0,0,0,0,0,92,0,1344,4,0,0,60,52.63,39,114,7,3,13,2,2,0,0,0,,3,1,0,John Stones,Manchester City,152077,17,DF,,,
1,5,0,77,65.25,58,47.54,7,87.5,61,0,86.73,135,56.25,3147,9,25,2,35,0,0,0,0,0,0,0,0,0,0,50,0,967,2,0,0,69,55.2,58,210,16,1,18,7,5,5.56,1,2,,0,2,0,Bruno Martins Indi,Stoke City,116947,29,DF,,,
3,4,0,22,56.41,46,58.23,3,100,15,0,81.25,68,57.63,1721,6,13,1,22,0,0,0,0,0,0,0,0,0,0,42,0,533,4,0,0,51,43.97,30,129,5,0,12,8,1,25,0,1,,0,1,0,Michael Dawson,Hull City,927,96,DF,,,
0,2,0,44,58.67,3,37.5,11,55,18,1,83.22,47,56.63,756,15,9,6,12,0,0,0,0,0,0,0,0,0,0,103,1,357,11,6,15.79,18,36.73,16,25,7,0,5,0,2,0,0,1,,0,0,0,Ashley Young,Manchester United,10589,35,DF,,,
4,3,0,111,54.41,20,47.62,31,52.54,54,3,77.93,131,53.25,2317,26,18,30,26,0,0,0,0,0,0,0,0,0,0,218,6,717,17,17,18.48,51,35.66,29,68,17,0,18,8,2,22.22,2,4,,0,2,0,Séamus Coleman,Everton,76632,48,DF,,,
5,3,0,95,58.64,10,37.04,36,65.45,43,1,79.24,105,55.56,2498,16,15,13,32,0,0,0,0,0,0,0,0,0,0,281,1,794,36,22,28.21,59,46.83,58,65,21,0,34,13,7,14.71,0,6,,0,2,0,Patrick van Aanholt,Crystal Palace,74577,7,DF,,,
1,6,0,70,57.85,129,63.86,10,76.92,46,1,71.26,199,61.61,3150,22,34,3,35,0,0,0,0,0,0,0,0,0,0,65,0,709,5,1,100,94,42.53,58,228,15,0,20,7,5,5,1,2,,2,1,0,Ryan Shawcross,Stoke City,27314,29,DF,,,
0,1,0,80,58.82,16,51.61,30,69.77,40,1,87.61,96,57.49,971,10,16,15,13,0,0,0,0,0,0,0,0,0,0,88,1,410,7,7,23.33,32,56.14,26,27,14,0,4,0,1,0,0,0,,0,0,0,Arthur Masuaku,West Ham United,174975,37,DF,,,
4,1,0,109,58.6,34,46.58,31,77.5,58,3,81.68,143,55.21,3060,25,12,24,34,0,0,0,0,0,0,0,0,0,0,433,3,1320,30,19,22.09,62,37.35,50,78,32,0,19,6,5,21.05,1,0,,0,0,1,Charlie Daniels,Bournemouth,21501,60,DF,,,
0,0,0,14,73.68,8,61.54,1,50,10,0,78.54,22,68.75,374,3,1,1,5,0,0,0,0,0,0,0,0,0,0,55,0,161,5,4,16,13,48.15,8,10,2,0,2,0,0,0,0,0,,0,0,0,Matt Targett,Southampton,368134,45,DF,,,
2,2,0,46,63.01,43,55.13,1,100,28,2,76.91,89,58.94,1329,17,13,2,16,0,0,0,0,0,0,0,0,0,0,32,1,423,3,0,0,36,39.13,22,114,12,1,8,5,2,25,0,0,,1,0,0,Andrea Ranocchia,Hull City,49518,96,DF,,,
0,4,0,177,60.62,54,58.06,15,75,106,1,75.81,231,60,3151,58,60,21,36,0,0,0,0,0,0,0,0,0,0,235,1,1009,18,20,18.35,58,34.52,54,110,32,1,9,0,4,0,0,1,,1,1,0,Erik Pieters,Stoke City,17063,29,DF,,,
